rank,feature,importance
1,R2-PA:ZH,0.024831056688031636
2,R3-PA:ZH,0.023937182669143568
3,R1-PA:ZH,0.02311364763281263
4,R4-PA:ZH,0.02304439357438696
5,R2-PM1:V,0.022159696046245965
6,R1-PM2:V,0.020589118364147847
7,R2-PM3:V,0.018591597305681877
8,R1-PM1:V,0.0179156595773625
9,R4-PM2:V,0.017788500974282376
10,R3:F,0.01774419726909347
11,R3-PM2:V,0.01672252369109686
12,R4:F,0.016598430010964095
13,R4-PM7:V,0.01619834668067442
14,R2-PM7:V,0.016134996449385316
15,R2:F,0.015765336168851837
16,R2-PM2:V,0.015058399572686782
17,R1:F,0.015014546636190382
18,R1-PM7:V,0.014793317340640984
19,R1-PM3:V,0.013978659388625239
20,R4-PM1:V,0.013745206506336932
